text,label,label_id
Kredensial Cloud Bocor ke Publik. Kunci akses cloud ditemukan dalam repositori publik dan digunakan untuk mengunduh berkas internal.,Negative,0
"Perusahaan Menerbitkan Glosarium Keamanan Siber. Glosarium perusahaan memuat definisi istilah autentikasi, enkripsi, dan kontrol akses.",Neutral,1
"Pertama di Dunia, Satu Negara Lumpuh Dibobol AI Tanpa Bantuan Manusia. Jakarta, CNBC Indonesia - Ancaman siber menggila di era teknologi kecerdasan buatan (AI) yang kian canggih. Para peretas dilaporkan telah mengerahkan sistem AI otonom untuk menyerang Taiwan. Para ahli menilai aksi ini sebagai serangan otonom penuh pertama yang menyasar lembaga pemerintah di dunia.
Perusahaan keamanan siber berbasis AI asal Israel, Dream, mengungkap fakta mengejutkan. Hanya dalam kurun waktu empat hari pada Juli lalu, agen-agen AI tersebut mampu memetakan 21 sistem pemerintah, membobol 85 akun pengguna, dan menggasak 2,500 data personel.
Meski Taiwan dan Dream enggan membeberkan secara terbuka asal-usul peretas tersebut, para pakar meyakini Beijing berada di balik serangan ini.
""Hasil investigasi menemukan indikasi kuat bahwa serangan berasal dari luar negeri dan menggunakan metode hibrida-menggabungkan operasi konvensional dengan bantuan agen AI seperti OpenClaw,"" tegas Kementerian Urusan Digital Taiwan dalam keterangan resminya, dikutip dari CNN International, Jumat (21/8/2026).
Laporan dari Financial Times membocorkan bahwa peretas membangun sistem berbasis agen AI open-source untuk mengotomatisasi seluruh proses penyusupan. Mulai dari pengintaian, pembobolan kredensial, hingga penentuan strategi alur serangan selanjutnya.
Penggunaan AI untuk menulis kode atau mencari celah keamanan sebenarnya sudah lazim dilakukan. Namun, insiden di Taiwan ini dinilai melompat terlalu jauh.
Sistem otonom yang bekerja mengordinasikan hingga delapan agen AI mampu melakukan penyusupan dan mengambil keputusan mandiri tanpa campur tangan manusia. AI tersebut bertindak layaknya tim peretas independen.
""Ini mempertegas satu hal. Biaya untuk melancarkan serangan siber yang mumpuni kini telah anjlok drastis, tetapi biaya untuk bertahan darinya tidak,"" tulis Dream dalam unggahan blog resminya.
Chief Business and Strategy Officer Dream, Amir Becker, menyoroti bahayanya kemampuan adaptasi sistem AI ini.
""Ketika satu jalur diblokir, sistem ini langsung meneliti teknik baru secara real-time dan beradaptasi. Ini adalah penyerang yang bisa menyusun strategi, belajar, dan menyesuaikan diri sendiri,"" ungkap Becker.
Tak hanya lembaga pemerintah dan kementerian kehakiman, serangan berantai ini meluas ke Badan Keselamatan Nuklir Taiwan, vendor TI pemerintah, hingga sedikitnya tujuh perusahaan di sektor energi.
Para ahli mengidentifikasi penggunaan Bahasa Mandarin Sederhana (Simplified Chinese) pada dokumen internal peretasan tersebut. Hal ini memperkuat dugaan bahwa dalang di balik aksi ini terhubung kuat dengan China.
Saat dikonfirmasi, juru bicara Kementerian Luar Negeri China berkali-kali mengklaim tidak mengetahui situasi tersebut.
Ancaman siber dari Beijing sebenarnya bukan hal baru bagi Taiwan. Sepanjang tahun lalu, pulau berpenduduk 23 juta jiwa itu diserbu rata-rata 2,6 juta serangan siber per hari dari China-naik 6% dibanding periode sebelumnya.
Ketua Taiwan Network Information Center, Kenny Huang, menegaskan bahwa insiden Juli ini menjadi bukti nyata bahwa AI telah bergeser dari sekadar alat bantu menjadi pemain utama dalam perang siber.
""Setiap negara, bukan hanya Taiwan, masih belum siap menghadapi ancaman ini. Masih ada celah yang sangat besar dalam strategi pertahanan AI global, baik dari sisi regulasi, kapabilitas teknis, maupun kebijakan,"" pungkas Huang.",Negative,0
Serangan Ransomware Mengunci Sistem Produksi. Ransomware mengunci komputer produksi dan perusahaan menghentikan operasi untuk mencegah penyebaran lebih luas.,Negative,0
"Tanda WhatsApp Dibajak Orang dari Jarak Jauh, Awas Rekening Ludes!. Jakarta, CNBC Indonesia - Penyadapan WhatsApp kini menjelma menjadi ancaman serius yang tak hanya merampas privasi, tetapi juga berpotensi menguras habis saldo rekening korban. Ketika akun tersadap, peretas dapat menguasai daftar kontak, membaca percakapan pribadi, hingga menguasai kode One-Time Password (OTP) perbankan dan e-commerce yang masuk via WhatsApp.
Modus penyusupan kini kian bervariasi, mulai dari infiltrasi malware, penyalahgunaan fitur WhatsApp Web, hingga aplikasi pihak ketiga.
1. Aktifkan Fitur Two-Step Verification Langkah proteksi paling krusial untuk mengunci akun dengan PIN rahasia tambahan:
2. Putuskan Sambungan WhatsApp Web Suspicious Cek berkala perangkat yang terhubung dengan akun Anda:
3. Ambil Alih Lewat Re-install Aplikasi Hapus (uninstall) dan unduh ulang aplikasi WhatsApp. Lakukan login ulang menggunakan nomor telepon Anda, lalu masukkan kode OTP resmi via SMS untuk mendepak akses peretas.
4. Kunci Aplikasi dengan Biomettrik Gunakan fitur pengaman bawaan perangkat:
5. Laporkan Pemblokiran Akun ke WhatsApp Jika akun telah sepenuhnya dikuasai peretas, kirim email darurat ke [email protected] :",Negative,0
"Rumah di Badung Bali Dibobol Maling, Emas Senilai Rp 150 Juta Raib. Polisi menangkap dua pelaku pencurian yang menyasar rumah warga di kawasan Kampial, Lingkungan Menesa, Kelurahan Benoa, Kuta Selatan, Badung. Pelaku berinisial R (48) dan A (40).
Kasi Humas Polresta Denpasar Iptu I Gede Adi Saputra mengatakan, akibat pencurian tersebut, korban kehilangan sejumlah perhiasan emas dan uang dengan total kerugian ditaksir mencapai Rp 150 juta.
“Kedua pelaku, R (48), yang bekerja sebagai sopir, merupakan residivis kasus pembunuhan di wilayah Sulawesi Selatan. Sementara pelaku A (40), yang bekerja sebagai buruh harian lepas, merupakan residivis kasus tindak pidana narkoba di Sulawesi Selatan,” kata Gede Adi Saputra Jaya, Senin (24/8).
Aksi pencurian tersebut terjadi pada Sabtu (22/8). Saat itu, korban berinisial AD (35) sedang bekerja. Sekitar pukul 14.46 WITA, adik korban berinisial S menelepon dan memberi tahu bahwa gembok pintu pagar rumah rusak. Kondisi kamar di dalam rumah juga berantakan.
AD kemudian pulang dan tiba di rumah sekitar pukul 15.00 WITA. Setelah mengecek kondisi rumah, korban mengetahui sejumlah perhiasan emas dan barang berharga lainnya hilang.
Polisi kemudian memeriksa keterangan korban dan rekaman CCTV di sekitar tempat kejadian perkara (TKP). Dari pemeriksaan tersebut, polisi memperoleh ciri-ciri pelaku.
Kedua pelaku kemudian ditangkap di sebuah penginapan di wilayah Legian. Mereka selanjutnya diamankan ke Polsek Kuta Selatan untuk menjalani pemeriksaan lebih lanjut.
“Terduga pelaku mengakui perbuatannya telah melakukan pencurian emas dan sejumlah uang di TKP dengan cara mencongkel gerbang dan jendela rumah. Pelaku melakukan pencurian karena kebutuhan ekonomi dan baru pertama kali melakukan pencurian,” terang Adi.
Dari tangan kedua pelaku, polisi mengamankan sejumlah barang bukti. Di antaranya 14 gelang emas, lima kalung emas, tiga cincin emas, dua pasang anting emas, satu emas batangan seberat 2 gram, dan beberapa lembar mata uang asing.
Polisi juga mengamankan barang yang diduga digunakan pelaku dalam aksinya, yakni sepasang sepatu berwarna biru, enam obeng panjang, satu unit sepeda motor Honda Scoopy, pakaian, dan helm.",Negative,0
Patch Keamanan Menutup Celah pada Router. Vendor merilis pembaruan firmware untuk memperbaiki celah yang dapat digunakan mengambil alih router.,Positive,2
Penyerang Memeras Perusahaan dengan Data Curian. Pelaku mengancam mempublikasikan dokumen internal setelah menyalin data perusahaan dari server yang diretas.,Negative,0
Dokumen Menjelaskan Proses Audit Akses. Dokumen internal menjelaskan cara organisasi meninjau izin akses secara berkala.,Neutral,1
Informasi Medis Bocor Setelah Serangan Siber. Catatan medis pasien muncul di internet setelah penyerang mengambil data dari server rumah sakit.,Negative,0
